sample_id,latitude,longitude,grain_size,grain_size_class,beach_type,region,image_path,timestamp,beach_name
SAMPLE_0016,8.601124,75.385673,0.32,fine,berm,Kerala,images/sample_0016_kerala_berm.jpg,2025-06-28T19:54:21.537810,Varkala Beach
SAMPLE_0017,11.440779,92.568664,0.5,medium,intertidal,Andaman,images/sample_0017_andaman_intertidal.jpg,2025-09-20T16:49:13.537827,Kalapathar Beach
SAMPLE_0018,17.736497,83.203718,1.25,coarse,dune,Vizag,images/sample_0018_vizag_dune.jpg,2025-08-16T11:39:56.537844,RK Beach
SAMPLE_0019,15.25036,73.889245,0.74,medium,intertidal,Goa,images/sample_0019_goa_intertidal.jpg,2025-05-24T18:52:18.537861,Anjuna Beach
SAMPLE_0020,17.655652,83.245698,1.5,coarse,berm,Vizag,images/sample_0020_vizag_berm.jpg,2025-08-18T10:10:02.537878,Rushikonda Beach
SAMPLE_0021,11.617105,75.2322,0.22,fine,intertidal,Kerala,images/sample_0021_kerala_intertidal.jpg,2025-05-09T13:01:43.537893,Marari Beach
SAMPLE_0022,12.945857,80.111634,1.84,coarse,intertidal,Chennai,images/sample_0022_chennai_intertidal.jpg,2025-04-06T06:28:24.537910,Elliot Beach
SAMPLE_0023,12.847105,80.110989,0.69,medium,dune,Chennai,images/sample_0023_chennai_dune.jpg,2025-06-05T23:53:46.537927,Marina Beach
SAMPLE_0024,12.087066,93.513529,0.97,medium,dune,Andaman,images/sample_0024_andaman_dune.jpg,2025-06-13T01:03:33.537944,Kalapathar Beach
SAMPLE_0025,13.238535,93.577034,0.12,fine,dune,Andaman,images/sample_0025_andaman_dune.jpg,2025-08-04T02:32:33.537960,Elephant Beach
SAMPLE_0026,11.655025,93.304644,0.54,medium,berm,Andaman,images/sample_0026_andaman_berm.jpg,2025-04-16T23:31:32.537976,Kalapathar Beach
SAMPLE_0027,12.475568,93.396574,0.67,medium,intertidal,Andaman,images/sample_0027_andaman_intertidal.jpg,2025-06-29T11:09:07.537993,Radhanagar Beach
SAMPLE_0028,15.483597,73.919196,1.88,coarse,dune,Goa,images/sample_0028_goa_dune.jpg,2025-08-24T01:24:54.538008,Baga Beach
SAMPLE_0029,8.768777,75.823618,1.31,coarse,dune,Kerala,images/sample_0029_kerala_dune.jpg,2025-07-19T13:30:31.538025,Varkala Beach
SAMPLE_0030,20.316651,86.242,1.92,coarse,berm,Odisha,images/sample_0030_odisha_berm.jpg,2025-09-24T13:59:22.538039,Gopalpur Beach
SAMPLE_0031,12.084389,93.122585,1.68,coarse,intertidal,Andaman,images/sample_0031_andaman_intertidal.jpg,2025-09-29T02:38:39.538052,Elephant Beach
SAMPLE_0032,19.428775,87.167608,0.15,fine,intertidal,Odisha,images/sample_0032_odisha_intertidal.jpg,2025-08-14T23:11:49.538066,Chandrabhaga Beach
SAMPLE_0033,12.365803,93.655301,0.37,fine,intertidal,Andaman,images/sample_0033_andaman_intertidal.jpg,2025-04-06T22:38:54.538092,Kalapathar Beach
SAMPLE_0034,17.678336,83.315073,1.0,coarse,berm,Vizag,images/sample_0034_vizag_berm.jpg,2025-09-01T01:57:07.538108,Rushikonda Beach
SAMPLE_0035,8.604484,76.521582,0.3,fine,berm,Kerala,images/sample_0035_kerala_berm.jpg,2025-07-20T13:33:13.538123,Kovalam Beach
SAMPLE_0036,22.925472,69.841206,0.99,medium,dune,Gujarat,images/sample_0036_gujarat_dune.jpg,2025-08-06T20:39:58.538136,Chorwad Beach
SAMPLE_0037,20.839511,85.479329,0.96,medium,intertidal,Odisha,images/sample_0037_odisha_intertidal.jpg,2025-07-12T10:23:28.538149,Chandrabhaga Beach
SAMPLE_0038,17.623184,83.38381,0.78,medium,dune,Vizag,images/sample_0038_vizag_dune.jpg,2025-09-14T09:35:00.538162,RK Beach
SAMPLE_0039,10.722536,92.97508,1.52,coarse,intertidal,Andaman,images/sample_0039_andaman_intertidal.jpg,2025-09-09T01:25:37.538178,Elephant Beach
SAMPLE_0040,21.210482,70.367996,1.01,coarse,dune,Gujarat,images/sample_0040_gujarat_dune.jpg,2025-07-02T04:46:49.538194,Somnath Beach
SAMPLE_0041,11.803555,75.180135,1.16,coarse,intertidal,Kerala,images/sample_0041_kerala_intertidal.jpg,2025-09-02T21:14:33.538208,Marari Beach
SAMPLE_0042,21.270821,69.291024,1.73,coarse,intertidal,Gujarat,images/sample_0042_gujarat_intertidal.jpg,2025-08-03T15:24:49.538226,Chorwad Beach
SAMPLE_0043,10.585323,93.618661,0.69,medium,dune,Andaman,images/sample_0043_andaman_dune.jpg,2025-07-12T02:23:05.538244,Elephant Beach
SAMPLE_0044,10.89408,93.179857,0.75,medium,intertidal,Andaman,images/sample_0044_andaman_intertidal.jpg,2025-09-25T19:10:49.538261,Elephant Beach
SAMPLE_0045,21.730746,71.478742,1.01,coarse,intertidal,Gujarat,images/sample_0045_gujarat_intertidal.jpg,2025-06-04T19:30:49.538276,Mandvi Beach
SAMPLE_0046,17.647976,83.270363,1.18,coarse,intertidal,Vizag,images/sample_0046_vizag_intertidal.jpg,2025-08-25T05:19:32.538292,RK Beach
SAMPLE_0047,15.256236,73.956075,0.67,medium,dune,Goa,images/sample_0047_goa_dune.jpg,2025-09-27T12:33:35.538307,Anjuna Beach
SAMPLE_0048,11.481193,93.535379,0.28,fine,berm,Andaman,images/sample_0048_andaman_berm.jpg,2025-04-21T04:58:09.538321,Kalapathar Beach
SAMPLE_0049,22.48906,71.658482,0.86,medium,intertidal,Gujarat,images/sample_0049_gujarat_intertidal.jpg,2025-09-12T06:16:56.538337,Somnath Beach
SAMPLE_0050,13.193456,80.205811,0.82,medium,intertidal,Chennai,images/sample_0050_chennai_intertidal.jpg,2025-07-11T09:52:27.538352,Elliot Beach
SAMPLE_0051,21.276182,72.379211,1.7,coarse,berm,Gujarat,images/sample_0051_gujarat_berm.jpg,2025-05-12T18:16:14.538368,Somnath Beach
SAMPLE_0052,19.529296,85.630052,1.4,coarse,berm,Odisha,images/sample_0052_odisha_berm.jpg,2025-08-23T05:06:52.538383,Chandrabhaga Beach
SAMPLE_0053,17.686292,83.339786,0.33,fine,berm,Vizag,images/sample_0053_vizag_berm.jpg,2025-04-28T13:48:23.538398,RK Beach
SAMPLE_0054,15.008781,74.182271,0.66,medium,dune,Goa,images/sample_0054_goa_dune.jpg,2025-06-26T12:38:23.538413,Calangute Beach
SAMPLE_0055,13.127957,80.104338,0.62,medium,intertidal,Chennai,images/sample_0055_chennai_intertidal.jpg,2025-05-17T03:42:25.538430,Covelong Beach
SAMPLE_0056,19.81236,85.416231,1.24,coarse,dune,Odisha,images/sample_0056_odisha_dune.jpg,2025-09-15T14:37:20.538447,Gopalpur Beach
SAMPLE_0057,13.129272,80.297897,0.87,medium,intertidal,Chennai,images/sample_0057_chennai_intertidal.jpg,2025-06-11T18:30:34.538460,Elliot Beach
SAMPLE_0058,17.62677,83.233973,1.75,coarse,berm,Vizag,images/sample_0058_vizag_berm.jpg,2025-06-13T21:30:26.538474,Yarada Beach
SAMPLE_0059,13.181674,80.282687,1.59,coarse,intertidal,Chennai,images/sample_0059_chennai_intertidal.jpg,2025-05-17T12:50:46.538489,Elliot Beach
SAMPLE_0060,8.40198,74.85459,1.47,coarse,dune,Kerala,images/sample_0060_kerala_dune.jpg,2025-05-10T23:51:08.538506,Varkala Beach
SAMPLE_0061,19.869113,86.654404,0.85,medium,intertidal,Odisha,images/sample_0061_odisha_intertidal.jpg,2025-08-20T14:26:41.538520,Chandrabhaga Beach
SAMPLE_0062,12.115181,93.762673,0.62,medium,dune,Andaman,images/sample_0062_andaman_dune.jpg,2025-06-25T16:35:24.538534,Kalapathar Beach
SAMPLE_0063,17.711181,83.291197,0.92,medium,berm,Vizag,images/sample_0063_vizag_berm.jpg,2025-06-27T12:37:08.538548,Yarada Beach
SAMPLE_0064,13.076047,80.228607,0.78,medium,dune,Chennai,images/sample_0064_chennai_dune.jpg,2025-06-10T00:07:53.538561,Elliot Beach
SAMPLE_0065,17.70809,83.382688,0.9,medium,dune,Vizag,images/sample_0065_vizag_dune.jpg,2025-08-05T12:06:48.538575,Yarada Beach
SAMPLE_0066,15.342313,73.908021,1.95,coarse,dune,Goa,images/sample_0066_goa_dune.jpg,2025-09-02T01:57:54.538590,Anjuna Beach
SAMPLE_0067,17.719584,83.380226,1.48,coarse,berm,Vizag,images/sample_0067_vizag_berm.jpg,2025-06-19T22:51:37.538605,Rushikonda Beach
SAMPLE_0068,9.159113,76.883655,1.64,coarse,dune,Kerala,images/sample_0068_kerala_dune.jpg,2025-08-16T21:25:50.538619,Varkala Beach
SAMPLE_0069,17.679093,83.269321,0.44,fine,berm,Vizag,images/sample_0069_vizag_berm.jpg,2025-07-01T18:38:18.538632,RK Beach
SAMPLE_0070,17.696882,83.377027,1.8,coarse,intertidal,Vizag,images/sample_0070_vizag_intertidal.jpg,2025-09-21T21:39:52.538645,Yarada Beach
SAMPLE_0071,12.728645,93.390151,1.4,coarse,intertidal,Andaman,images/sample_0071_andaman_intertidal.jpg,2025-04-07T14:33:43.538659,Radhanagar Beach
SAMPLE_0072,20.243785,72.379384,1.86,coarse,intertidal,Gujarat,images/sample_0072_gujarat_intertidal.jpg,2025-05-21T03:17:15.538673,Chorwad Beach
SAMPLE_0073,15.065265,73.83706,1.86,coarse,dune,Goa,images/sample_0073_goa_dune.jpg,2025-08-29T23:13:47.538686,Anjuna Beach
SAMPLE_0074,15.660553,73.963552,0.17,fine,intertidal,Goa,images/sample_0074_goa_intertidal.jpg,2025-04-26T00:45:33.538808,Baga Beach
SAMPLE_0075,15.124344,73.864406,1.15,coarse,berm,Goa,images/sample_0075_goa_berm.jpg,2025-08-05T13:40:35.538836,Calangute Beach
SAMPLE_0076,13.09128,80.184486,1.08,coarse,intertidal,Chennai,images/sample_0076_chennai_intertidal.jpg,2025-08-24T12:45:34.538852,Elliot Beach
SAMPLE_0077,11.130217,75.964804,0.14,fine,intertidal,Kerala,images/sample_0077_kerala_intertidal.jpg,2025-08-28T13:34:16.538867,Marari Beach
SAMPLE_0078,15.392283,73.921252,0.37,fine,intertidal,Goa,images/sample_0078_goa_intertidal.jpg,2025-04-27T02:36:00.538883,Baga Beach
SAMPLE_0079,13.083598,80.249586,0.65,medium,intertidal,Chennai,images/sample_0079_chennai_intertidal.jpg,2025-04-22T00:41:34.538897,Marina Beach
SAMPLE_0080,17.706076,83.291135,1.46,coarse,berm,Vizag,images/sample_0080_vizag_berm.jpg,2025-06-30T14:36:18.538910,Yarada Beach
SAMPLE_0081,10.636061,92.222676,0.87,medium,intertidal,Andaman,images/sample_0081_andaman_intertidal.jpg,2025-09-25T08:40:08.538925,Kalapathar Beach
SAMPLE_0082,13.099783,80.138756,0.46,fine,dune,Chennai,images/sample_0082_chennai_dune.jpg,2025-08-23T14:31:00.538939,Marina Beach
SAMPLE_0083,15.542137,73.74388,0.35,fine,dune,Goa,images/sample_0083_goa_dune.jpg,2025-09-20T18:26:23.538953,Palolem Beach
SAMPLE_0084,15.512072,74.17071,0.82,medium,dune,Goa,images/sample_0084_goa_dune.jpg,2025-08-17T14:35:22.538966,Baga Beach
SAMPLE_0085,13.586848,92.737017,1.36,coarse,intertidal,Andaman,images/sample_0085_andaman_intertidal.jpg,2025-07-08T19:13:02.538982,Kalapathar Beach
SAMPLE_0086,15.127063,73.764807,1.1,coarse,intertidal,Goa,images/sample_0086_goa_intertidal.jpg,2025-08-01T06:15:13.538996,Calangute Beach
SAMPLE_0087,12.767479,93.19034,1.49,coarse,dune,Andaman,images/sample_0087_andaman_dune.jpg,2025-06-26T17:00:37.539010,Elephant Beach
SAMPLE_0088,21.103407,87.392403,0.39,fine,intertidal,Odisha,images/sample_0088_odisha_intertidal.jpg,2025-04-15T02:27:36.539024,Chandrabhaga Beach
SAMPLE_0089,11.681259,93.235842,1.43,coarse,berm,Andaman,images/sample_0089_andaman_berm.jpg,2025-07-09T06:03:25.539037,Kalapathar Beach
SAMPLE_0090,13.140003,93.612886,0.97,medium,dune,Andaman,images/sample_0090_andaman_dune.jpg,2025-05-12T14:34:15.539051,Kalapathar Beach
SAMPLE_0091,11.702173,75.031811,1.81,coarse,dune,Kerala,images/sample_0091_kerala_dune.jpg,2025-08-01T01:10:25.539066,Kovalam Beach
SAMPLE_0092,11.517716,76.553714,0.31,fine,dune,Kerala,images/sample_0092_kerala_dune.jpg,2025-07-21T02:10:16.539091,Marari Beach
SAMPLE_0093,19.686875,87.397159,1.46,coarse,dune,Odisha,images/sample_0093_odisha_dune.jpg,2025-04-23T08:28:02.539109,Puri Beach
SAMPLE_0094,11.49778,75.046903,1.56,coarse,berm,Kerala,images/sample_0094_kerala_berm.jpg,2025-08-03T14:07:07.539128,Marari Beach
SAMPLE_0095,11.699139,92.247074,1.38,coarse,intertidal,Andaman,images/sample_0095_andaman_intertidal.jpg,2025-06-17T09:52:07.539143,Elephant Beach
SAMPLE_0096,12.944286,80.182497,0.62,medium,intertidal,Chennai,images/sample_0096_chennai_intertidal.jpg,2025-05-08T12:08:02.539159,Covelong Beach
SAMPLE_0097,15.768781,73.806036,0.14,fine,intertidal,Goa,images/sample_0097_goa_intertidal.jpg,2025-04-28T22:28:36.539174,Baga Beach
SAMPLE_0098,12.879975,80.190759,1.26,coarse,berm,Chennai,images/sample_0098_chennai_berm.jpg,2025-08-31T10:58:36.539190,Elliot Beach
SAMPLE_0099,11.384449,75.076196,1.33,coarse,berm,Kerala,images/sample_0099_kerala_berm.jpg,2025-08-27T06:05:24.539207,Varkala Beach
SAMPLE_0100,20.258556,69.5554,1.58,coarse,berm,Gujarat,images/sample_0100_gujarat_berm.jpg,2025-09-03T15:07:32.539225,Mandvi Beach
SAMPLE_0101,22.468944,70.982526,1.72,coarse,dune,Gujarat,images/sample_0101_gujarat_dune.jpg,2025-07-08T11:28:07.539243,Mandvi Beach
SAMPLE_0102,15.423715,74.078072,1.98,coarse,berm,Goa,images/sample_0102_goa_berm.jpg,2025-07-06T02:22:53.539261,Baga Beach
SAMPLE_0103,13.023284,93.032093,0.21,fine,berm,Andaman,images/sample_0103_andaman_berm.jpg,2025-09-19T23:46:28.539278,Elephant Beach
SAMPLE_0104,12.844896,80.218614,1.42,coarse,dune,Chennai,images/sample_0104_chennai_dune.jpg,2025-05-04T00:35:36.539295,Elliot Beach
SAMPLE_0105,21.10895,70.630636,1.38,coarse,berm,Gujarat,images/sample_0105_gujarat_berm.jpg,2025-08-27T21:37:40.539314,Somnath Beach
SAMPLE_0106,17.778783,83.24588,0.51,medium,intertidal,Vizag,images/sample_0106_vizag_intertidal.jpg,2025-09-25T14:58:33.539332,RK Beach
SAMPLE_0107,21.662369,70.863812,0.27,fine,dune,Gujarat,images/sample_0107_gujarat_dune.jpg,2025-09-27T05:30:54.539348,Somnath Beach
SAMPLE_0108,19.868922,86.444622,1.68,coarse,dune,Odisha,images/sample_0108_odisha_dune.jpg,2025-09-26T15:36:06.539362,Chandrabhaga Beach
SAMPLE_0109,15.337586,73.946959,1.91,coarse,intertidal,Goa,images/sample_0109_goa_intertidal.jpg,2025-07-14T00:49:48.539377,Calangute Beach
SAMPLE_0110,21.363299,68.924214,1.05,coarse,berm,Gujarat,images/sample_0110_gujarat_berm.jpg,2025-07-15T15:26:33.539396,Mandvi Beach
SAMPLE_0111,12.808316,80.189863,1.59,coarse,dune,Chennai,images/sample_0111_chennai_dune.jpg,2025-06-11T00:06:53.539412,Marina Beach
SAMPLE_0112,21.057766,85.54834,1.36,coarse,berm,Odisha,images/sample_0112_odisha_berm.jpg,2025-08-11T15:40:43.539427,Chandrabhaga Beach
SAMPLE_0113,17.756652,83.243484,0.16,fine,dune,Vizag,images/sample_0113_vizag_dune.jpg,2025-04-29T21:24:28.539442,Yarada Beach
SAMPLE_0114,17.653131,83.336756,0.21,fine,berm,Vizag,images/sample_0114_vizag_berm.jpg,2025-04-17T00:52:19.539456,RK Beach
SAMPLE_0115,12.875012,80.125222,0.52,medium,intertidal,Chennai,images/sample_0115_chennai_intertidal.jpg,2025-09-27T10:12:36.539469,Marina Beach
SAMPLE_0116,9.6475,75.60663,1.18,coarse,intertidal,Kerala,images/sample_0116_kerala_intertidal.jpg,2025-09-16T17:06:54.539484,Kovalam Beach
SAMPLE_0117,12.896685,80.238793,1.81,coarse,berm,Chennai,images/sample_0117_chennai_berm.jpg,2025-04-13T15:12:13.539497,Elliot Beach
SAMPLE_0118,17.798657,83.36842,0.1,fine,dune,Vizag,images/sample_0118_vizag_dune.jpg,2025-05-18T20:58:39.539511,RK Beach
SAMPLE_0119,11.98573,75.193452,0.73,medium,berm,Kerala,images/sample_0119_kerala_berm.jpg,2025-06-15T11:24:52.539524,Marari Beach
SAMPLE_0120,15.467017,73.76981,0.9,medium,intertidal,Goa,images/sample_0120_goa_intertidal.jpg,2025-05-02T16:28:22.539538,Anjuna Beach
SAMPLE_0121,11.881672,93.0698,0.79,medium,intertidal,Andaman,images/sample_0121_andaman_intertidal.jpg,2025-05-28T03:00:57.539552,Elephant Beach
SAMPLE_0122,17.791397,83.251045,1.44,coarse,berm,Vizag,images/sample_0122_vizag_berm.jpg,2025-07-03T05:07:50.539565,RK Beach
SAMPLE_0123,9.650063,76.344283,1.56,coarse,dune,Kerala,images/sample_0123_kerala_dune.jpg,2025-07-07T23:57:27.539579,Marari Beach
SAMPLE_0124,17.673518,83.370238,1.08,coarse,dune,Vizag,images/sample_0124_vizag_dune.jpg,2025-05-05T05:38:33.539592,Yarada Beach
SAMPLE_0125,10.314366,76.392495,1.26,coarse,berm,Kerala,images/sample_0125_kerala_berm.jpg,2025-09-16T04:46:38.539605,Kovalam Beach
SAMPLE_0126,17.605033,83.287389,1.0,coarse,intertidal,Vizag,images/sample_0126_vizag_intertidal.jpg,2025-05-16T06:09:35.539619,Rushikonda Beach
SAMPLE_0127,12.859468,80.133715,0.61,medium,intertidal,Chennai,images/sample_0127_chennai_intertidal.jpg,2025-07-19T17:26:15.539633,Marina Beach
SAMPLE_0128,17.799011,83.257129,1.39,coarse,dune,Vizag,images/sample_0128_vizag_dune.jpg,2025-05-28T17:47:12.539648,RK Beach
SAMPLE_0129,19.338129,86.984253,1.03,coarse,berm,Odisha,images/sample_0129_odisha_berm.jpg,2025-08-05T20:04:50.539665,Chandrabhaga Beach
SAMPLE_0130,17.774969,83.313086,1.12,coarse,berm,Vizag,images/sample_0130_vizag_berm.jpg,2025-04-08T22:07:56.539683,Yarada Beach
SAMPLE_0131,11.181687,76.488809,0.95,medium,dune,Kerala,images/sample_0131_kerala_dune.jpg,2025-04-19T08:03:53.539701,Kovalam Beach
SAMPLE_0132,21.521438,85.47929,0.69,medium,berm,Odisha,images/sample_0132_odisha_berm.jpg,2025-04-28T03:00:34.539746,Puri Beach
SAMPLE_0133,17.734546,83.377153,1.65,coarse,dune,Vizag,images/sample_0133_vizag_dune.jpg,2025-06-03T06:06:02.539765,Rushikonda Beach
SAMPLE_0134,13.096066,80.283398,0.71,medium,dune,Chennai,images/sample_0134_chennai_dune.jpg,2025-07-03T14:54:07.539780,Marina Beach
SAMPLE_0135,17.754233,83.292132,0.19,fine,dune,Vizag,images/sample_0135_vizag_dune.jpg,2025-05-11T16:25:38.539794,Rushikonda Beach
SAMPLE_0136,15.549144,74.075754,1.13,coarse,intertidal,Goa,images/sample_0136_goa_intertidal.jpg,2025-08-01T12:26:07.539809,Baga Beach
SAMPLE_0137,17.60591,83.262477,0.13,fine,intertidal,Vizag,images/sample_0137_vizag_intertidal.jpg,2025-08-19T11:05:00.539824,Rushikonda Beach
SAMPLE_0138,15.356439,73.818633,1.65,coarse,dune,Goa,images/sample_0138_goa_dune.jpg,2025-09-18T14:11:23.539838,Anjuna Beach
SAMPLE_0139,20.321645,87.472398,1.76,coarse,dune,Odisha,images/sample_0139_odisha_dune.jpg,2025-08-06T11:30:55.539852,Chandrabhaga Beach
SAMPLE_0140,12.989654,80.274315,1.61,coarse,intertidal,Chennai,images/sample_0140_chennai_intertidal.jpg,2025-08-30T14:18:08.539866,Marina Beach
SAMPLE_0141,12.847589,80.196917,0.16,fine,intertidal,Chennai,images/sample_0141_chennai_intertidal.jpg,2025-04-08T11:22:42.539880,Covelong Beach
SAMPLE_0142,17.742374,83.296268,0.21,fine,berm,Vizag,images/sample_0142_vizag_berm.jpg,2025-05-27T01:15:39.539893,Rushikonda Beach
SAMPLE_0143,17.693266,83.342839,1.22,coarse,dune,Vizag,images/sample_0143_vizag_dune.jpg,2025-05-29T12:10:57.539908,Rushikonda Beach
SAMPLE_0144,15.059914,74.089989,0.3,fine,intertidal,Goa,images/sample_0144_goa_intertidal.jpg,2025-04-11T19:45:57.539922,Calangute Beach
SAMPLE_0145,19.675408,85.499944,1.22,coarse,berm,Odisha,images/sample_0145_odisha_berm.jpg,2025-06-13T08:37:42.539936,Puri Beach
SAMPLE_0146,13.179063,80.276194,1.92,coarse,dune,Chennai,images/sample_0146_chennai_dune.jpg,2025-08-03T14:01:36.539950,Elliot Beach
SAMPLE_0147,17.71576,83.27859,1.78,coarse,berm,Vizag,images/sample_0147_vizag_berm.jpg,2025-08-30T02:01:50.539963,Yarada Beach
SAMPLE_0148,20.720143,86.267189,0.68,medium,berm,Odisha,images/sample_0148_odisha_berm.jpg,2025-04-06T14:14:26.539977,Gopalpur Beach
SAMPLE_0149,10.930941,93.167251,1.89,coarse,intertidal,Andaman,images/sample_0149_andaman_intertidal.jpg,2025-07-04T09:13:44.539990,Elephant Beach
SAMPLE_0150,17.642319,83.207692,2.0,coarse,dune,Vizag,images/sample_0150_vizag_dune.jpg,2025-09-03T08:17:17.540004,Rushikonda Beach
SAMPLE_0151,17.638649,83.295944,1.2,coarse,berm,Vizag,images/sample_0151_vizag_berm.jpg,2025-09-02T21:51:27.540018,RK Beach
SAMPLE_0152,21.818101,86.533368,1.24,coarse,dune,Odisha,images/sample_0152_odisha_dune.jpg,2025-08-02T06:02:11.540033,Puri Beach
SAMPLE_0153,13.101515,80.182921,0.98,medium,intertidal,Chennai,images/sample_0153_chennai_intertidal.jpg,2025-05-15T15:56:19.540047,Marina Beach
SAMPLE_0154,21.878749,70.12017,0.58,medium,intertidal,Gujarat,images/sample_0154_gujarat_intertidal.jpg,2025-07-22T07:33:31.540061,Somnath Beach
SAMPLE_0155,20.228077,85.790662,0.64,medium,berm,Odisha,images/sample_0155_odisha_berm.jpg,2025-04-09T00:24:29.540233,Puri Beach
SAMPLE_0156,21.623728,68.517231,1.98,coarse,berm,Gujarat,images/sample_0156_gujarat_berm.jpg,2025-07-13T18:40:34.540259,Mandvi Beach
SAMPLE_0157,13.192881,93.383569,1.95,coarse,dune,Andaman,images/sample_0157_andaman_dune.jpg,2025-06-08T03:35:44.540275,Kalapathar Beach
SAMPLE_0158,21.331946,85.604205,1.13,coarse,berm,Odisha,images/sample_0158_odisha_berm.jpg,2025-04-19T14:53:05.540291,Chandrabhaga Beach
SAMPLE_0159,21.644222,87.267164,0.11,fine,berm,Odisha,images/sample_0159_odisha_berm.jpg,2025-04-04T18:55:25.540305,Gopalpur Beach
SAMPLE_0160,21.880795,87.462549,0.37,fine,dune,Odisha,images/sample_0160_odisha_dune.jpg,2025-06-11T10:30:06.540319,Puri Beach
SAMPLE_0161,12.812949,80.261357,1.73,coarse,intertidal,Chennai,images/sample_0161_chennai_intertidal.jpg,2025-08-31T16:43:16.540334,Covelong Beach
SAMPLE_0162,21.44563,70.497659,0.36,fine,berm,Gujarat,images/sample_0162_gujarat_berm.jpg,2025-09-09T03:32:07.540350,Somnath Beach
SAMPLE_0163,12.978987,80.110372,1.8,coarse,intertidal,Chennai,images/sample_0163_chennai_intertidal.jpg,2025-07-08T10:40:12.540364,Marina Beach
SAMPLE_0164,22.263037,70.965177,0.54,medium,dune,Gujarat,images/sample_0164_gujarat_dune.jpg,2025-08-13T13:10:23.540377,Chorwad Beach
SAMPLE_0165,22.332196,68.959879,0.45,fine,dune,Gujarat,images/sample_0165_gujarat_dune.jpg,2025-07-29T02:40:45.540390,Mandvi Beach
SAMPLE_0166,20.242961,87.433733,0.71,medium,dune,Odisha,images/sample_0166_odisha_dune.jpg,2025-08-26T08:28:59.540403,Gopalpur Beach
SAMPLE_0167,21.996431,72.065235,0.54,medium,dune,Gujarat,images/sample_0167_gujarat_dune.jpg,2025-05-31T06:02:13.540416,Chorwad Beach
SAMPLE_0168,12.902845,80.254178,1.94,coarse,dune,Chennai,images/sample_0168_chennai_dune.jpg,2025-09-25T07:30:58.540430,Covelong Beach
SAMPLE_0169,15.667404,73.813524,0.64,medium,berm,Goa,images/sample_0169_goa_berm.jpg,2025-05-14T12:07:55.540443,Palolem Beach
SAMPLE_0170,17.600339,83.34346,1.87,coarse,berm,Vizag,images/sample_0170_vizag_berm.jpg,2025-08-23T18:13:29.540458,Rushikonda Beach
SAMPLE_0171,17.770321,83.206214,0.69,medium,intertidal,Vizag,images/sample_0171_vizag_intertidal.jpg,2025-06-29T03:39:42.540476,Rushikonda Beach
SAMPLE_0172,17.717057,83.273569,0.99,medium,dune,Vizag,images/sample_0172_vizag_dune.jpg,2025-05-30T00:14:11.540493,Yarada Beach
SAMPLE_0173,13.095937,80.226653,0.54,medium,berm,Chennai,images/sample_0173_chennai_berm.jpg,2025-05-10T08:18:00.540507,Elliot Beach
